1,2022-04-01,0,1,8800
1,2022-04-01,0,2,15600
1,2022-04-01,0,3,22800
1,2022-04-01,0,4,29600
1,2022-04-01,0,5,36100
1,2022-04-01,0,6,42300
1,2022-04-01,0,7,48200
1,2022-04-01,0,8,53800
1,2022-04-01,0,9,59100
1,2022-04-01,0,10,64200
1,2022-04-01,0,11,68900
1,2022-04-01,0,12,73500
1,2022-04-01,1,1,11000
1,2022-04-01,1,2,19500
1,2022-04-01,1,3,28500
1,2022-04-01,1,4,37000
1,2022-04-01,1,5,45200
1,2022-04-01,1,6,52900
1,2022-04-01,1,7,60300
1,2022-04-01,1,8,67300
1,2022-04-01,1,9,73900
1,2022-04-01,1,10,80200
1,2022-04-01,1,11,86200
1,2022-04-01,1,12,91900
1,2022-04-01,2,1,11000
1,2022-04-01,2,2,19500
1,2022-04-01,2,3,28500
1,2022-04-01,2,4,37000
1,2022-04-01,2,5,45200
1,2022-04-01,2,6,52900
1,2022-04-01,2,7,60300
1,2022-04-01,2,8,67300
1,2022-04-01,2,9,73900
1,2022-04-01,2,10,80200
1,2022-04-01,2,11,86200
1,2022-04-01,2,12,91900
1,2022-04-01,3,1,11000
1,2022-04-01,3,2,19500
1,2022-04-01,3,3,28500
1,2022-04-01,3,4,37000
1,2022-04-01,3,5,45200
1,2022-04-01,3,6,52900
1,2022-04-01,3,7,60300
1,2022-04-01,3,8,67300
1,2022-04-01,3,9,73900
1,2022-04-01,3,10,80200
1,2022-04-01,3,11,86200
1,2022-04-01,3,12,91900
1,2022-04-01,4,1,11000
1,2022-04-01,4,2,19500
1,2022-04-01,4,3,28500
1,2022-04-01,4,4,37000
1,2022-04-01,4,5,45200
1,2022-04-01,4,6,52900
1,2022-04-01,4,7,60300
1,2022-04-01,4,8,67300
1,2022-04-01,4,9,73900
1,2022-04-01,4,10,80200
1,2022-04-01,4,11,86200
1,2022-04-01,4,12,91900
1,2022-04-01,5,1,13750
1,2022-04-01,5,2,24300
1,2022-04-01,5,3,35600
1,2022-04-01,5,4,46300
1,2022-04-01,5,5,56500
1,2022-04-01,5,6,66200
1,2022-04-01,5,7,75400
1,2022-04-01,5,8,84100
1,2022-04-01,5,9,92400
1,2022-04-01,5,10,100300
1,2022-04-01,5,11,107700
1,2022-04-01,5,12,114900
1,2022-04-01,6,1,14850
1,2022-04-01,6,2,26300
1,2022-04-01,6,3,38500
1,2022-04-01,6,4,50000
1,2022-04-01,6,5,61000
1,2022-04-01,6,6,71500
1,2022-04-01,6,7,81400
1,2022-04-01,6,8,90800
1,2022-04-01,6,9,99800
1,2022-04-01,6,10,108300
1,2022-04-01,6,11,116400
1,2022-04-01,6,12,124100
1,2022-04-01,7,1,15400
1,2022-04-01,7,2,27300
1,2022-04-01,7,3,39900
1,2022-04-01,7,4,51900
1,2022-04-01,7,5,63300
1,2022-04-01,7,6,74100
1,2022-04-01,7,7,84400
1,2022-04-01,7,8,94200
1,2022-04-01,7,9,103500
1,2022-04-01,7,10,112300
1,2022-04-01,7,11,120700
1,2022-04-01,7,12,128600
1,2022-04-01,8,1,15950
1,2022-04-01,8,2,28200
1,2022-04-01,8,3,41300
1,2022-04-01,8,4,53700
1,2022-04-01,8,5,65600
1,2022-04-01,8,6,76800
1,2022-04-01,8,7,87400
1,2022-04-01,8,8,97600
1,2022-04-01,8,9,107200
1,2022-04-01,8,10,116300
1,2022-04-01,8,11,125000
1,2022-04-01,8,12,133200
1,2022-04-01,9,1,16500
1,2022-04-01,9,2,29200
1,2022-04-01,9,3,42700
1,2022-04-01,9,4,55600
1,2022-04-01,9,5,67800
1,2022-04-01,9,6,79400
1,2022-04-01,9,7,90400
1,2022-04-01,9,8,100900
1,2022-04-01,9,9,110900
1,2022-04-01,9,10,120300
1,2022-04-01,9,11,129300
1,2022-04-01,9,12,137800
1,2022-04-01,10,1,17600
1,2022-04-01,10,2,31200
1,2022-04-01,10,3,45600
1,2022-04-01,10,4,59300
1,2022-04-01,10,5,72300
1,2022-04-01,10,6,84700
1,2022-04-01,10,7,96500
1,2022-04-01,10,8,107700
1,2022-04-01,10,9,118300
1,2022-04-01,10,10,128400
1,2022-04-01,10,11,137900
1,2022-04-01,10,12,147000
1,2022-04-01,11,1,18150
1,2022-04-01,11,2,32100
1,2022-04-01,11,3,47000
1,2022-04-01,11,4,61200
1,2022-04-01,11,5,74600
1,2022-04-01,11,6,87400
1,2022-04-01,11,7,99500
1,2022-04-01,11,8,111000
1,2022-04-01,11,9,122000
1,2022-04-01,11,10,132400
1,2022-04-01,11,11,142200
1,2022-04-01,11,12,151600
1,2022-04-01,12,1,19800
1,2022-04-01,12,2,35100
1,2022-04-01,12,3,51300
1,2022-04-01,12,4,66700
1,2022-04-01,12,5,81400
1,2022-04-01,12,6,95300
1,2022-04-01,12,7,108500
1,2022-04-01,12,8,121100
1,2022-04-01,12,9,133100
1,2022-04-01,12,10,144400
1,2022-04-01,12,11,155200
1,2022-04-01,12,12,165400
